Étiquettes de lignes;sport;Somme de prediction;Somme de predict_final;;demoday;dernier;
18000087;Cycling BMX Freestyle;2;3;;18000080;18000087;#N/A
18000217;Karate;0;3;;18000087;18000217;18000087
18000370;Skateboarding;3;3;;18000100;18000370;#N/A
18000377;Skateboarding;2;3;;18000115;18000377;#N/A
18000384;Skateboarding;3;3;;18000130;18000384;#N/A
18000391;Skateboarding;3;3;;18000159;18000391;#N/A
18000400;Surfing;2;3;;18000188;18000400;#N/A
18000430;Surfing;2;3;;18000217;18000430;18000217
18000492;Archery;2;3;;18000246;18000492;#N/A
18000588;Archery;2;3;;18000275;18000588;#N/A
18000690;Triathlon;2;3;;18000320;18000690;#N/A
18000699;Triathlon;1;3;;18000339;18000699;#N/A
18000720;Shooting;2;3;;18000370;18000720;18000370
18000723;Shooting;3;3;;18000377;18000723;18000377
18000728;Shooting;1;3;;18000384;18000728;18000384
18000731;Shooting;0;3;;18000391;18000731;18000391
18000737;Shooting;1;3;;18000400;18000737;18000400
18000740;Shooting;1;3;;18000430;18000740;18000430
18000743;Shooting;2;3;;18000492;18000743;18000492
18000746;Shooting;2;3;;18000588;18000746;18000588
18000751;Shooting;0;3;;18000690;18000751;18000690
18000754;Shooting;0;3;;18000699;18000754;18000699
18000760;Shooting;4;3;;18000720;18000760;18000720
18000763;Shooting;4;3;;18000723;18000763;18000723
18000920;Judo;3;3;;18000728;18000920;18000728
18000962;Judo;2;3;;18000731;18000962;18000731
18001004;Judo;3;3;;18000737;18001004;18000737
18001046;Judo;1;3;;18000740;18001046;18000740
18001088;Judo;3;3;;18000743;18001088;18000743
18001130;Judo;2;3;;18000746;18001130;18000746
18001172;Judo;4;3;;18000751;18001172;18000751
18001214;Judo;5;3;;18000754;18001214;18000754
18001256;Judo;5;3;;18000760;18001256;18000760
18001298;Judo;3;3;;18000763;18001298;18000763
18001340;Judo;4;3;;18000920;18001340;18000920
18001382;Judo;2;3;;18000962;18001382;18000962
18001424;Judo;5;3;;18001004;18001424;18001004
18001466;Judo;3;3;;18001046;18001466;18001046
19000000;Swimming;3;3;;18001088;19000000;18001088
19000014;Swimming;3;3;;18001130;19000014;18001130
19000028;Swimming;2;3;;18001172;19000028;18001172
19000040;Swimming;3;3;;18001214;19000040;18001214
19000047;Swimming;2;3;;18001256;19000047;18001256
19000054;Swimming;3;3;;18001298;19000054;18001298
19000071;Swimming;3;3;;18001340;19000071;18001340
19000083;Swimming;3;3;;18001382;19000083;18001382
19000094;Swimming;3;3;;18001424;19000094;18001424
19000106;Swimming;4;3;;18001466;19000106;18001466
19000117;Swimming;4;3;;19000000;19000117;19000000
19000129;Swimming;3;3;;19000014;19000129;19000014
